,THRESHOLD,base_vector,ED,accepted_forecast
0,0.7,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.6362396379531534,0.68239885948842
1,0.8,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.6362396379531534,0.68239885948842
2,0.9,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.6362396379531534,0.68239885948842
3,0.9,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.8510649753664385,-0.012928474573614679
4,1.0,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.9850856235826124,0.37495205969444445
5,1.0,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.991796411975556,-0.34687803321361566
6,1.0,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.6362396379531534,0.68239885948842
7,1.0,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.9814379658518801,-1.162083045845086
8,1.0,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.9577409665495897,-1.8938601631234397
9,1.0,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.9738415503385229,1.750557246670903
10,1.0,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.9216761038067883,0.11918249480227239
11,1.0,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.9879469926313492,0.758983718262285
12,1.0,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.8510649753664385,-0.012928474573614679
13,1.0,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.9961988833859454,0.17338114391434178
14,1.1,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.0133694871238321,-0.04935057376722618
15,1.1,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.9850856235826124,0.37495205969444445
16,1.1,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.991796411975556,-0.34687803321361566
17,1.1,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.6362396379531534,0.68239885948842
18,1.1,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.9814379658518801,-1.162083045845086
19,1.1,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.9577409665495897,-1.8938601631234397
20,1.1,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.9738415503385229,1.750557246670903
21,1.1,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.9216761038067883,0.11918249480227239
22,1.1,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.008856816787593,0.07203565085134311
23,1.1,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.0703373688011875,1.218979133332243
24,1.1,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.0546099874985806,0.4703231192730639
25,1.1,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.9879469926313492,0.758983718262285
26,1.1,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.8510649753664385,-0.012928474573614679
27,1.1,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.048959135757708,-0.44503771558856986
28,1.1,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.9961988833859454,0.17338114391434178
29,1.1,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.0778998318800637,0.067401764019559
30,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.1210957667566661,0.8625724896717202
31,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.0133694871238321,-0.04935057376722618
32,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.9850856235826124,0.37495205969444445
33,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.1961526138409304,0.47030166722847877
34,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.190757475284656,0.16602552771514123
35,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.991796411975556,-0.34687803321361566
36,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.1396270486229407,0.3841591269959199
37,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.6362396379531534,0.68239885948842
38,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.9814379658518801,-1.162083045845086
39,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.1724646930690659,-1.471096701074015
40,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.9577409665495897,-1.8938601631234397
41,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.9738415503385229,1.750557246670903
42,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.174544834193775,0.2594320025174124
43,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.180984514841809,0.5734431006019891
44,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.9216761038067883,0.11918249480227239
45,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.008856816787593,0.07203565085134311
46,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.0703373688011875,1.218979133332243
47,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.0546099874985806,0.4703231192730639
48,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.160599796278936,-1.012935242023849
49,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.1104927945163117,-0.21336408524204042
50,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.17904461119476,0.4903966025155082
51,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.9879469926313492,0.758983718262285
52,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.8510649753664385,-0.012928474573614679
53,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.048959135757708,-0.44503771558856986
54,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.9961988833859454,0.17338114391434178
55,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.1234620467786072,0.3670882169340306
56,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.1299199637580408,0.2388010955532316
57,1.2,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.0778998318800637,0.067401764019559
58,1.3,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.1210957667566661,0.8625724896717202
59,1.3,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.0133694871238321,-0.04935057376722618
60,1.3,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.9850856235826124,0.37495205969444445
61,1.3,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.295262373102802,-1.0373134008998308
62,1.3,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.1961526138409304,0.47030166722847877
63,1.3,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.190757475284656,0.16602552771514123
64,1.3,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.2030172379710615,0.5031116068947128
65,1.3,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.991796411975556,-0.34687803321361566
66,1.3,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.2394263120355533,0.08927069616222472
67,1.3,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.1396270486229407,0.3841591269959199
68,1.3,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.236784224617121,-1.1966870770532156
69,1.3,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.2722259525584978,-0.1142001008596627
70,1.3,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.6362396379531534,0.68239885948842
71,1.3,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.9814379658518801,-1.162083045845086
72,1.3,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.1724646930690659,-1.471096701074015
73,1.3,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.2220263068162829,0.34265308704779507
74,1.3,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.9577409665495897,-1.8938601631234397
75,1.3,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],0.9738415503385229,1.750557246670903
76,1.3,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.174544834193775,0.2594320025174124
77,1.3,[-0.71022009 -1.69064612  0.83413911 -0.47173671 -0.61585422],1.180984514841809,0.5734431006019891
